p_1_gender,p_1_age,p_1_fast_round_sum,p_1_play_sum_chosen,p_1_round_status,p_2_gender,p_2_age,p_2_fast_round_sum,p_2_play_sum_chosen,p_2_round_status,p_3_gender,p_3_age,p_3_fast_round_sum,p_3_play_sum_chosen,p_3_round_status,p_4_gender,p_4_age,p_4_fast_round_sum,p_4_play_sum_chosen,p_4_round_status,team_total_sum,question_answered,game_result,season,p_1_high,p_1_middle,p_1_low,p_1_neutral,p_2_high,p_2_middle,p_2_low,p_2_neutral,p_3_high,p_3_middle,p_3_low,p_3_neutral,p_4_high,p_4_middle,p_4_low,p_4_neutral
female,40,15000,95000,1,male,32,20000,110000,0,female,26,25000,25000,1,male,37,35000,35000,1,155000,27,1,2,1,2,0,0,1,1,0,0,0,2,0,0,0,2,0,0
male,33,30000,30000,1,female,44,25000,25000,1,female,27,20000,20000,0,male,29,45000,45000,1,100000,22,0,2,2,1,0,0,1,1,0,1,0,2,0,1,1,1,0,0
female,47,35000,35000,1,male,29,15000,120000,1,female,20,30000,30000,0,male,36,45000,155000,0,155000,24,0,2,3,0,0,0,1,2,0,0,3,0,0,0,2,0,0,0
female,60,20000,3000,1,male,37,20000,20000,1,female,35,20000,20000,1,male,43,30000,157000,1,200000,22,1,2,2,1,0,0,2,1,0,0,2,1,0,0,2,1,0,0
female,35,25000,25000,0,male,61,50000,170000,0,female,26,30000,30000,0,male,34,40000,40000,1,40000,23,0,2,0,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0
male,54,40000,40000,1,female,31,35000,140000,1,male,24,15000,15000,1,female,36,25000,25000,1,220000,18,0,2,1,2,0,0,3,0,0,0,1,1,0,1,1,2,0,0
female,48,25000,110000,1,male,19,40000,40000,0,female,29,25000,150000,1,male,32,30000,30000,0,260000,20,0,2,2,1,0,0,2,1,0,0,0,0,0,2,1,0,0,1
male,34,35000,35000,1,female,55,20000,20000,0,female,27,35000,135000,1,male,30,20000,20000,0,170000,25,1,2,2,1,0,0,1,2,0,0,2,0,0,0,2,0,0,0
female,44,20000,20000,1,male,58,20000,110000,0,female,18,30000,30000,1,male,30,35000,35000,0,50000,22,0,2,0,3,0,0,1,1,0,1,0,2,0,0,2,0,0,0
female,38,45000,45000,1,male,42,20000,20000,1,female,25,30000,30000,0,male,37,40000,40000,1,105000,18,0,2,1,2,0,0,0,3,0,0,3,0,0,0,2,0,0,0
male,28,30000,30000,1,female,60,40000,40000,1,female,29,40000,40000,0,male,30,30000,160000,1,230000,21,0,2,3,0,0,0,2,1,0,0,3,0,0,0,0,0,0,2
female,35,35000,140000,0,male,30,35000,35000,1,male,65,25000,25000,1,female,31,30000,200000,1,260000,26,1,2,2,0,0,0,1,1,0,0,2,0,0,0,1,1,0,0
male,64,30000,110000,1,female,24,25000,25000,0,male,29,20000,20000,0,female,39,20000,20000,1,130000,18,0,2,3,0,0,0,0,3,0,0,0,2,0,0,0,0,0,1
female,34,35000,125000,1,male,31,30000,110000,1,female,25,35000,35000,1,male,37,40000,130000,0,270000,24,0,2,3,0,0,0,3,0,0,0,3,0,0,0,3,0,0,0
female,35,35000,35000,0,male,61,20000,20000,1,female,30,5000,60000,1,male,31,35000,35000,1,115000,16,0,2,2,1,0,0,0,2,0,0,2,0,0,0,0,2,0,0
male,24,10000,105000,0,female,28,25000,25000,1,male,31,20000,160000,0,female,57,40000,40000,1,65000,20,0,2,3,0,0,0,1,1,0,0,0,2,0,0,1,0,0,0
male,42,35000,130000,1,female,26,15000,110000,0,male,47,40000,175000,0,female,69,40000,40000,1,170000,20,0,2,3,0,0,0,0,3,0,0,1,1,0,0,0,1,0,0
female,38,25000,25000,0,male,47,30000,30000,1,female,35,20000,20000,1,male,37,15000,15000,1,65000,24,1,2,2,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0
male,26,30000,30000,0,female,32,20000,20000,0,male,51,30000,150000,1,female,40,25000,100000,1,250000,17,0,2,2,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0
male,36,35000,110000,0,female,20,25000,25000,1,female,38,40000,40000,1,male,26,25000,125000,1,190000,20,0,2,2,1,0,0,1,1,0,0,1,1,0,0,2,0,0,0
female,28,20000,120000,0,male,32,40000,40000,1,female,37,20000,20000,1,male,34,30000,30000,1,90000,26,1,2,1,2,0,0,0,2,0,0,0,2,0,0,0,2,0,0
male,37,25000,25000,1,male,19,45000,150000,1,female,28,40000,40000,0,female,61,25000,10000,1,185000,17,0,2,2,1,0,0,3,0,0,0,1,2,0,0,0,0,0,0
female,51,35000,35000,1,male,36,35000,35000,1,female,39,40000,40000,1,male,35,50000,50000,0,110000,17,0,2,1,1,0,1,0,3,0,0,0,3,0,0,1,1,0,0
female,56,15000,15000,1,male,27,45000,45000,1,female,38,10000,10000,0,male,39,15000,100000,1,160000,20,0,2,2,1,0,0,3,0,0,0,2,0,0,1,2,0,0,0
female,38,35000,120000,1,male,67,25000,105000,1,female,33,10000,10000,0,male,41,35000,35000,0,225000,20,0,2,2,1,0,0,2,1,0,0,1,1,0,0,2,0,0,0
female,34,20000,20000,1,male,41,30000,30000,1,female,33,35000,150000,1,male,37,40000,40000,0,200000,23,1,2,2,1,0,0,3,0,0,0,1,1,0,0,0,3,0,0
female,37,20000,110000,0,female,33,5000,120000,1,male,31,45000,150000,0,male,34,30000,30000,1,150000,21,0,2,2,1,0,0,0,0,0,2,0,2,0,0,0,0,0,1
male,32,25000,25000,1,female,59,30000,140000,0,male,40,35000,35000,1,female,26,20000,20000,0,60000,16,0,2,1,2,0,0,3,0,0,0,0,2,0,0,-1,-1,-1,-1
female,34,20000,100000,0,male,48,35000,35000,1,female,28,20000,20000,1,male,30,45000,45000,1,100000,16,0,2,1,0,0,2,0,2,0,0,0,2,0,0,0,2,0,0
female,26,35000,35000,1,male,30,35000,35000,1,male,33,25000,135000,1,female,30,15000,2000,1,207000,30,1,2,2,1,0,0,2,1,0,0,3,0,0,0,0,3,0,0
female,30,35000,120000,0,male,26,20000,20000,1,female,26,25000,25000,1,male,42,20000,155000,1,200000,25,1,2,2,1,0,0,1,1,0,0,0,2,0,0,1,0,0,1
male,64,45000,45000,1,female,43,60000,60000,0,male,65,30000,30000,1,male,51,45000,190000,1,265000,17,0,2,2,1,0,0,2,1,0,0,0,2,0,0,2,0,0,0
male,31,15000,15000,1,female,30,40000,135000,1,male,44,30000,110000,0,female,38,30000,30000,1,180000,20,0,2,3,0,0,0,3,0,0,0,3,0,0,0,0,1,0,1
male,47,25000,25000,1,female,34,25000,25000,1,male,28,40000,40000,1,female,31,30000,30000,1,120000,19,0,2,2,1,0,0,1,2,0,0,1,2,0,0,2,1,0,0
male,54,35000,120000,0,female,29,30000,30000,0,male,24,30000,30000,1,female,26,35000,35000,1,65000,25,0,2,3,0,0,0,0,2,0,0,-1,-1,-1,-1,0,1,0,0
male,47,30000,125000,0,female,35,25000,25000,0,male,27,10000,10000,1,female,34,45000,155000,0,10000,23,1,2,3,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0
female,29,35000,105000,1,male,27,15000,15000,0,female,30,30000,30000,0,male,40,45000,45000,1,150000,23,0,2,0,2,0,1,1,2,0,0,2,0,0,0,0,1,0,0
female,31,30000,95000,0,female,47,25000,25000,1,female,29,20000,120000,0,female,31,40000,40000,1,65000,18,0,2,2,1,0,0,0,2,0,0,0,1,0,1,0,1,0,0
female,36,20000,20000,1,male,30,45000,45000,1,male,48,35000,35000,1,female,50,45000,165000,0,100000,26,0,2,3,0,0,0,2,0,0,1,3,0,0,0,2,1,0,0
