,sex,sex_binary,age,age_group,player_number,first_player,second_player,third_player,fourth_player,encouragement_low,encouragement_middle,encouragement_high,encouragement_neutral,fast_round_sum,success_group,amount_chosen,risk,did_win
70,male,0,15,20,1,1,0,0,0,0.0,3,0,0,25000,25-35,25000,2,1
71,male,0,38,30,1,1,0,0,0,0.0,3,0,0,35000,35-45,35000,2,1
72,male,0,33,30,1,1,0,0,0,0.0,1,2,0,60000,55-65,60000,2,1
73,female,1,43,40,1,1,0,0,0,0.0,0,3,0,30000,25-35,100000,3,0
74,female,1,34,30,1,1,0,0,0,0.0,1,2,0,40000,35-45,130000,3,0
75,female,1,26,20,1,1,0,0,0,0.0,0,3,0,30000,25-35,30000,2,1
76,male,0,29,20,1,1,0,0,0,0.0,2,1,0,25000,25-35,25000,2,1
77,female,1,31,30,1,1,0,0,0,0.0,1,2,0,45000,45-55,45000,2,1
78,male,0,38,30,1,1,0,0,0,0.0,1,2,0,40000,35-45,160000,3,1
79,female,1,37,30,1,1,0,0,0,0.0,3,0,0,40000,35-45,40000,2,1
80,male,0,47,40,1,1,0,0,0,0.0,0,3,0,20000,15-25,110000,3,1
81,female,1,31,30,1,1,0,0,0,0.0,1,2,0,15000,15-25,100000,3,1
82,female,1,30,30,1,1,0,0,0,0.0,2,1,0,30000,25-35,125000,3,0
83,male,0,57,50,1,1,0,0,0,0.0,0,3,0,40000,35-45,150000,3,1
84,female,1,22,20,1,1,0,0,0,0.0,1,2,0,30000,25-35,30000,2,0
85,male,0,30,30,1,1,0,0,0,0.0,2,1,0,30000,25-35,30000,2,1
86,female,1,30,30,1,1,0,0,0,0.0,3,0,0,30000,25-35,6000,1,0
87,female,1,35,30,1,1,0,0,0,0.0,2,1,0,50000,45-55,50000,2,1
88,female,1,25,20,1,1,0,0,0,0.0,0,3,0,35000,35-45,125000,3,1
89,male,0,31,30,1,1,0,0,0,0.0,1,2,0,35000,35-45,120000,3,0
90,male,0,57,50,1,1,0,0,0,0.0,0,3,0,20000,15-25,120000,3,0
91,female,1,30,30,1,1,0,0,0,0.0,1,2,0,35000,35-45,35000,2,1
92,male,0,51,50,1,1,0,0,0,0.0,0,3,0,40000,35-45,150000,3,0
93,female,1,31,30,1,1,0,0,0,0.0,1,2,0,35000,35-45,35000,2,1
94,male,0,33,30,1,1,0,0,0,0.0,0,1,2,30000,25-35,30000,2,0
95,female,1,27,20,1,1,0,0,0,0.0,0,3,0,15000,15-25,15000,2,0
96,female,1,26,20,1,1,0,0,0,0.0,1,2,0,15000,15-25,15000,2,0
97,male,0,24,20,1,1,0,0,0,0.0,2,1,0,20000,15-25,20000,2,1
98,female,1,54,50,1,1,0,0,0,0.0,1,2,0,20000,15-25,20000,2,1
99,female,1,31,30,1,1,0,0,0,0.0,0,3,0,40000,35-45,40000,2,0
100,female,1,37,30,1,1,0,0,0,0.0,3,0,0,30000,25-35,30000,2,1
0,female,1,27,20,2,0,1,0,0,0.0,2,1,0,50000,45-55,50000,2,1
1,female,1,67,50,2,0,1,0,0,0.0,1,1,1,30000,25-35,30000,2,0
2,male,0,57,50,2,0,1,0,0,0.0,2,0,1,20000,15-25,20000,2,1
3,female,1,29,20,2,0,1,0,0,0.0,0,3,0,30000,25-35,30000,2,1
4,female,1,38,30,2,0,1,0,0,0.0,0,0,2,35000,35-45,35000,2,1
5,female,1,41,40,2,0,1,0,0,0.0,2,0,0,30000,25-35,9000,1,1
6,male,0,31,30,2,0,1,0,0,-1.0,-1,-1,-1,15000,15-25,15000,2,1
